Acamar;Акамар;θ;Eri;1;HR 897;2.88;44.565311;-40.304672;;
Achernar;Ахернар;α;Eri;;HR 472;0.45;24.428523;-57.236753;;
Achird;Ахирд;η;Cas;;HR 219;3.46;12.276213;57.815187;;
Acrab;Акраб;β;Sco;1;HR 5984;2.56;241.359300;-19.805453;;Граффиас
Acrux;Акрукс;α;Cru;;HR 4730;1.33;186.649563;-63.099093;;
Acubens;Акубенс;α;Cnc;;HR 3572;4.26;134.621740;11.857687;;Сертан
Adhafera;Адхафера;ζ;Leo;;HR 4031;3.43;154.172567;23.417312;;Адхавера
Adhara;Адара;ε;CMa;;HR 2618;1.50;104.656453;-28.972086;;
Adhil;Адхил;ξ;And;;HR 390;4.87;20.585080;45.528778;;
Ain;Аин;ε;Tau;;HR 1409;3.53;67.154163;19.180435;;
Ainalrami;Аинальрами;ν;Sgr;1;HR 7116;4.86;283.542404;-22.744840;;
Aladfar;Альадфар;η;Lyr;;HR 7298;4.43;288.439531;39.145970;;
Albaldah;Альбальдах;π;Sgr;;HR 7264;2.88;287.440971;-21.023615;;
Albali;Альбали;ε;Aqr;;HR 7950;3.78;311.918969;-9.495775;;
Albireo;Альбирео;β;Cyg;1;HR 7417;3.05;292.680351;27.959692;;
Alchiba;Альхиба;α;Crv;;HR 4623;4.02;182.103402;-24.728875;;Альчиба, Альхита
Alcor;Алькор;80;UMa;;HR 5062;3.99;201.306403;54.987954;;Сайдак
Alcyone;Альциона;η;Tau;;HR 1165;2.85;56.871152;24.105136;;
Aldebaran;Альдебаран;α;Tau;;HR 1457;0.87;68.980163;16.509302;;Палилия
Alderamin;Альдерамин;α;Cep;;HR 8162;2.45;319.644885;62.585574;;
Aldhanab;Альданаб;γ;Gru;;HR 8353;3.00;328.482192;-37.364855;;Аль Данаб
Aldhibah;Альдибах;ζ;Dra;;HR 6396;3.17;257.196650;65.714684;;Нодус I, Кау Пи, Альдхибах, Нодус, Нод
Aldulfin;Альдулфин;ε;Del;;HR 7852;4.03;308.303216;11.303261;;Денеб Дулфим
Alfirk;Альфирк;β;Cep;;HR 8238;3.23;322.164987;70.560715;;
Algedi;Алгеди;α;Cap;2;HR 7754;3.58;304.513566;-12.544852;;Гиеди, Альгеди, Альджеди, Секунда Гиеди
Algenib;Альгениб;γ;Peg;;HR 39;2.83;3.308963;15.183594;;Алгениб
Algieba;Альгиеба;γ;Leo;1;HR 4057;2.61;154.993144;19.841489;;Альджеба
Algol;Алголь;β;Per;;HR 936;2.09;47.042215;40.955648;;Горгона
Algorab;Альгораб;δ;Crv;;HR 4757;2.94;187.466063;-16.515431;;
Alhena;Альхена;γ;Gem;;HR 2421;1.93;99.427960;16.399280;;Альгена
